#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,2235.656178515983,306.07965662457343,2541.7358351405564,196.8605408176811,0
1000,2360.0296698315856,384.60111416654024,2744.630783998126,247.36300402602214,2.43e+03
1500,2353.7930595989083,458.9156783567325,2812.7087379556406,295.1597294224299,2.38e+03
2000,2394.114440171131,457.67185776590776,2851.7862979370384,294.3597442261244,2.39e+03
2500,2390.463331543503,467.4704220110289,2857.933753554532,300.6618640004462,2.4e+03
3000,2326.322788955017,428.6469636581655,2754.9697526131827,275.691870594018,2.42e+03
3500,2336.124557496306,440.05311548695744,2776.177672983263,283.02793873532124,2.43e+03
4000,2419.9454454846104,407.78093254499026,2827.7263780296007,262.27151389681813,2.47e+03
4500,2362.5534467171033,438.9268692687171,2801.48031598582,282.30357357475583,2.52e+03
5000,2439.0381789000908,435.19655401952076,2874.2347329196114,279.90435539254923,2.56e+03
5500,2411.393291952569,516.1817641550158,2927.5750561075847,331.99142462584354,2.6e+03
6000,2406.5556494881666,495.62235387372306,2902.1780033618898,318.76827653589316,2.61e+03
6500,2426.283656304222,467.0863727408964,2893.3700290451184,300.414855924664,2.63e+03
7000,2406.0023888520254,505.6079778999333,2911.6103667519587,325.1907071145217,2.65e+03
7500,2411.401404968263,435.194959740359,2846.596364708622,279.903330003729,2.66e+03
8000,2446.0609596734903,497.0205737826389,2943.0815334561294,319.66756638248637,2.68e+03
8500,2437.427844092119,435.57129138373773,2872.9991354758567,280.145374351463,2.7e+03
9000,2419.2529511777175,463.74304355020956,2882.995994727927,298.2645346655891,2.71e+03
9500,2376.249849587149,458.90518071900703,2835.1550303061563,295.15297768119126,2.72e+03
10000,2349.2047820732414,438.08927770583614,2787.2940597790775,281.7648617574745,2.73e+03
10500,2384.227617830883,418.7166441956122,2802.9442620264954,269.3050101229597,2.74e+03
11000,2439.902988738038,430.7024914239488,2870.6054801619866,277.0139196060312,2.74e+03
11500,2404.4312218184828,542.5596647704784,2946.990886588961,348.9568376103604,2.74e+03
12000,2392.179247383156,483.3830140334312,2875.5622614165873,310.8963287992078,2.75e+03
12500,2357.212802214581,453.3145011994395,2810.527303414021,291.5572333383703,2.76e+03
13000,2430.5941903814446,448.72016553962175,2879.314355921066,288.60230515835394,2.77e+03
13500,2463.6015055109688,517.148316060535,2980.7498215715036,332.61307956674096,2.77e+03
14000,2366.2457326131107,524.1117639292027,2890.357496542313,337.0917441356282,2.78e+03
14500,2413.4068484861423,471.93026093543483,2885.337109421577,303.5302882279837,2.79e+03
15000,2392.6839666895507,487.01097624576727,2879.694942935318,313.22971681676756,2.79e+03
15500,2381.915380476332,483.50250015217165,2865.4178806285036,310.97317840827645,2.8e+03
16000,2448.129265109996,425.76898797823145,2873.8982530882276,273.8408496700535,2.8e+03
16500,2419.264860973613,450.11868535244076,2869.383546326054,289.501787893443,2.8e+03
17000,2367.054846934769,489.2164678400697,2856.2713147748386,314.64821771555734,2.81e+03
17500,2364.6693917463936,463.001316665326,2827.6707084117197,297.78747991027655,2.81e+03
18000,2433.4819071549177,487.07155606531484,2920.5534632202325,313.26867979839886,2.81e+03
18500,2402.2029300088425,476.66712941983064,2878.870059428673,306.57688891325625,2.81e+03
19000,2386.1013077884463,512.1079997632944,2898.2093075517405,329.3713110574931,2.81e+03
19500,2371.478242528975,452.40193209631786,2823.880174625293,290.97029839092824,2.82e+03
20000,2402.258497367022,409.5316322199555,2811.7901295869774,263.3975073346823,2.82e+03
20500,2356.8495224608023,454.20647493217035,2811.0559973929726,292.13092200934244,2.81e+03
21000,2420.103448615781,439.0895779115422,2859.193026527323,282.4082225141055,2.82e+03
21500,2422.6264296147087,457.74798931100344,2880.3744189257122,294.4087095749036,2.82e+03
22000,2412.8779976106907,461.3764307465754,2874.254428357266,296.7424058133573,2.82e+03
22500,2419.0616556164173,429.30152419544726,2848.3631798118645,276.11286277229027,2.82e+03
23000,2439.800434310969,522.5537772263089,2962.354211537278,336.0896974517657,2.82e+03
23500,2457.032747500823,456.5679665313913,2913.6007140322145,293.6497570684436,2.82e+03
24000,2360.3625202547987,430.2019814840978,2790.5645017388965,276.69200779219074,2.82e+03
24500,2402.0987297199054,436.77097216804873,2838.869701887954,280.9169702510811,2.83e+03
25000,2462.944714565984,425.310615824153,2888.2553303901373,273.5460395178769,2.83e+03
25500,2396.0966424106145,495.5658711424009,2891.6625135530153,318.7319486689661,2.83e+03
26000,2428.080488584943,470.13379023242004,2898.214278817363,302.3748563444712,2.83e+03
26500,2371.3684679879734,482.1912587621865,2853.55972675016,310.129830333394,2.83e+03
27000,2368.5529087530695,463.46321872237627,2832.0161274754455,298.0845603819371,2.83e+03
27500,2379.020049269876,463.8521824639137,2842.8722317337897,298.3347292868619,2.84e+03
28000,2421.4213776462525,441.02563928574,2862.4470169319925,283.6534346049184,2.84e+03
28500,2415.887080793158,519.0593740568748,2934.9464548500328,333.8422102931743,2.84e+03
29000,2448.1214453150774,464.0639732192775,2912.185418534355,298.47094625436927,2.84e+03
29500,2380.7240661622304,438.6881508517512,2819.4122170139817,282.15003760576883,2.83e+03
30000,2379.051486301676,469.1838110011186,2848.2352973027946,301.7638604119027,2.83e+03
30500,2409.309934301816,493.22636566219154,2902.536299964008,317.2272543708905,2.83e+03
31000,2432.9360364459562,467.8364922574127,2900.772528703369,300.89730854934277,2.83e+03
31500,2385.860412364219,489.9547862552858,2875.815198619505,315.12308025336193,2.83e+03
32000,2409.456544161999,470.3500928486048,2879.8066370106035,302.5139751950083,2.83e+03
32500,2453.3943902618903,466.74638866118954,2920.14077892308,300.1961891549133,2.83e+03
33000,2433.0589809134462,423.0063593371584,2856.0653402506045,272.06401623277895,2.83e+03
33500,2489.024611935801,449.2585150835037,2938.283127019305,288.9485541823051,2.83e+03
34000,2478.4532170716184,432.5587926200782,2911.0120096916967,278.20783252863606,2.83e+03
34500,2393.383016343103,508.5725450973213,2901.9555614404244,327.0974209033574,2.83e+03
35000,2420.557400255784,511.9915929562993,2932.5489932120836,329.2964419621973,2.83e+03
35500,2410.450526070907,502.36291293507765,2912.8134390059845,323.1035862290146,2.83e+03
36000,2400.8188922182544,381.1827663946475,2782.001658612902,245.1644332405644,2.83e+03
36500,2412.8062216551243,411.709138835309,2824.5153604904335,264.79800919965385,2.83e+03
37000,2419.239512041701,511.4200905364381,2930.659602578139,328.9288700801154,2.84e+03
37500,2392.0696241070355,474.3635057309131,2866.4331298379484,305.0952726234256,2.84e+03
38000,2416.8931810217437,429.99275768347394,2846.8859387052175,276.5574418069927,2.84e+03
38500,2435.7531302838415,533.1835046987358,2968.9366349825773,342.92639454572907,2.83e+03
39000,2465.960948120903,484.43253716880196,2950.393485289705,311.5713481530199,2.83e+03
39500,2455.3795256987164,479.8924816384786,2935.272007337195,308.6513311976363,2.84e+03
40000,2405.782316266858,439.1456291261021,2844.92794539296,282.44427284340026,2.83e+03
40500,2532.2360989621066,458.0527939909132,2990.28889295302,294.60475009191316,2.83e+03
41000,2504.0985639397304,475.60909573104277,2979.707659670773,305.8963958465982,2.83e+03
41500,2462.1010033608964,480.4890100231923,2942.5900133840887,309.03499897132264,2.83e+03
42000,2341.6852178404733,398.0413906513642,2739.7266084918374,256.00735539102294,2.83e+03
42500,2343.155835616063,445.67315281172534,2788.8289884277883,286.6425650694274,2.83e+03
43000,2409.100472997238,402.50652063950463,2811.6069936367426,258.8791826597157,2.83e+03
